ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              016                    017                    018                    019                    020                    021                    022                    023                    024                    025                    026                    027                    028                    029                    030                    031                    032                    033                    034                    035                    036                    037                    038                    039                    040                    041                    042                    043                    044                    045                    046                    047                    048                    049                    050                    051                    052                    053                    054                    055                    056                    057                    058                    059                    060                    061                    062                    063                    064                    065                    066                    067                    068                    069                    070                    071                    072                    073                    074                    075                    076                    077                    078                    079                    080                    081                    082                    083                    084                    085                    086                    087                    088                    089                    090                    091                    092                    093                    094                    095                    096                    097                    098                    099                    100                    101                    102                    103                    104                    105                    106                    107                    108                    109                    110                    111        
Frame 0260    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0261    0001 a850800000000064  0001 a850800000005f40  0001 a850800000003718  0001 a850800000001e1c  0001 a8508000000015bf  0001 a850800000000bda  0001 a850800000000064  0001 a850800000049196  0001 a850800000243a80  0001 a8508000008215cf  0001 a850800000a20f32  0001 a8508000d8997eb6  0001 a8508005940a6299  0001 a8508008aa888d96  0001 a8508003ffb6f818  0001 a850800000000000  0001 a850800000000001  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009  0001 a8508002c0050009
Frame 0262    0001 a870c0000000004a  0001 a870c00000003969  0001 a870c000000008f0  0001 a870c000000003e2  0001 a870c00000000acb  0001 a870c0000000070d  0001 a870c0000000004a  0001 a870c00000013227  0001 a870c000002d3a4b  0001 a870c00000537607  0001 a870c0000055afbc  0001 a870c0016018301b  0001 a870c003dc39dce1  0001 a870c00412d3e68c  0001 a870c003ffb7dea0  0001 a870c00000000000  0001 a870c00000000001  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c  0001 a870c0038006800c
Frame 0263    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0264    0001 a8910000000000a0  0001 a891000000006019  0001 a8910000000039e6  0001 a89100000000191e  0001 a891000000001acb  0001 a891000000000bc8  0001 a8910000000000a0  0001 a891000000017266  0001 a89100000023f667  0001 a89100000012a5ac  0001 a891000000642b33  0001 a8910000a4b65859  0001 a89100001ded2bee  0001 a89100035825237b  0001 a8910003fff7bf00  0001 a891000000000000  0001 a891000000000001  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012  0001 a891000500098012
Frame 0265    0001 a8b14000000000c4  0001 a8b140000000b127  0001 a8b1400000009f67  0001 a8b1400000006979  0001 a8b1400000000a3c  0001 a8b1400000001608  0001 a8b14000000000c4  0001 a8b140000007095e  0001 a8b1400000271c2b  0001 a8b1400000c67208  0001 a8b140000105a660  0001 a8b1400092239ccd  0001 a8b14006fc49f548  0001 a8b1400c2746d54c  0001 a8b14003fff756e0  0001 a8b1400000000000  0001 a8b1400000000001  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015  0001 a8b14005c00b0015
Frame 0266    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0267    0001 a8d180000000003b  0001 a8d1800000002889  0001 a8d1800000001c95  0001 a8d1800000000ce7  0001 a8d1800000000235  0001 a8d1800000000508  0001 a8d180000000003b  0001 a8d1800000014ebe  0001 a8d18000000ce440  0001 a8d180000004cc4a  0001 a8d18000004b081d  0001 a8d180004224bb0c  0001 a8d1800004a784b2  0001 a8d1800462c2da03  0001 a8d18003ffc64400  0001 a8d1800000000000  0001 a8d1800000000001  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b  0001 a8d18007400e001b
Frame 0268    0001 a8f1c000000000f2  0001 a8f1c0000000f848  0001 a8f1c0000000b679  0001 a8f1c0000000463a  0001 a8f1c0000000360d  0001 a8f1c00000001ea2  0001 a8f1c000000000f2  0001 a8f1c000001b8ef6  0001 a8f1c00000500892  0001 a8f1c000013891d5  0001 a8f1c0000107b92d  0001 a8f1c0012d8e88e4  0001 a8f1c00c76af4863  0001 a8f1c008e4e87507  0001 a8f1c003fff7e440  0001 a8f1c00000000000  0001 a8f1c00000000001  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e  0001 a8f1c008000f801e
Frame 0269    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0270    0001 a91200000000006a  0001 a9120000000032cd  0001 a9120000000030a9  0001 a9120000000015fb  0001 a91200000000018e  0001 a91200000000063a  0001 a91200000000006a  0001 a91200000000ad20  0001 a91200000009fc14  0001 a91200000012f901  0001 a91200000046b6de  0001 a912000017894520  0001 a91200003a21961d  0001 a912000324b2647a  0001 a9120003fff22000  0001 a912000000000000  0001 a912000000000001  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024  0001 a912000980128024
Frame 0271    0001 a93240000000010e  0001 a932400000010cb6  0001 a932400000007f8e  0001 a932400000004a63  0001 a932400000000b21  0001 a93240000000214e  0001 a93240000000010e  0001 a9324000000a0e16  0001 a932400000a6aff7  0001 a932400000e3dfb0  0001 a93240000123291e  0001 a93240056d7157c5  0001 a93240061972a632  0001 a9324009f7efee56  0001 a9324003ffe7ffc7  0001 a932400000000000  0001 a932400000000001  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027  0001 a932400a40140027
