ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              016                    017                    018                    019                    020                    021                    022                    023                    024                    025                    026                    027                    028                    029                    030                    031                    032                    033                    034                    035                    036                    037                    038                    039                    040                    041                    042                    043                    044                    045                    046                    047                    048                    049                    050                    051                    052                    053                    054                    055                    056                    057                    058                    059                    060                    061                    062                    063                    064                    065                    066                    067                    068                    069                    070                    071                    072                    073                    074                    075                    076                    077                    078                    079                    080                    081                    082                    083                    084                    085                    086                    087                    088                    089                    090                    091                    092                    093                    094                    095                    096                    097                    098                    099                    100                    101                    102                    103                    104                    105                    106                    107                    108                    109                    110                    111        
Frame 0307    0001 ac38400000000066  0001 ac38400000004542  0001 ac38400000002d29  0001 ac38400000000df9  0001 ac38400000000860  0001 ac38400000000875  0001 ac38400000000066  0001 ac3840000001b2b9  0001 ac384000001b8a8c  0001 ac384000002b4158  0001 ac384000003b4542  0001 ac38400084a0b1e8  0001 ac384000dd6a36be  0001 ac384001a0e7218e  0001 ac384003fff7fa40  0001 ac38400000000000  0001 ac38400000000001  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003  0001 ac38400140020003
Frame 0308    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0309    0001 ac58800000000152  0001 ac588000000292d7  0001 ac5880000002499e  0001 ac58800000017ace  0001 ac588000000021ea  0001 ac588000000052b5  0001 ac58800000000152  0001 ac588000007a424f  0001 ac5880000087bd02  0001 ac58800001b36eb4  0001 ac58800002db706d  0001 ac588001c3e0562a  0001 ac588008f6e6892c  0001 ac588019500d569b  0001 ac588003fff7fc40  0001 ac58800000000000  0001 ac58800000000001  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009  0001 ac588002c0050009
Frame 0310    0001 ac78c00000000073  0001 ac78c00000003707  0001 ac78c00000002561  0001 ac78c000000015c9  0001 ac78c000000006a5  0001 ac78c000000006bf  0001 ac78c00000000073  0001 ac78c0000000a06b  0001 ac78c0000013c95b  0001 ac78c0000011f451  0001 ac78c0000031a72d  0001 ac78c0007bcf8d27  0001 ac78c0003024b407  0001 ac78c0016fd421cb  0001 ac78c003ffd7c3a0  0001 ac78c00000000000  0001 ac78c00000000001  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c  0001 ac78c0038006800c
Frame 0311    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0312    0001 ac99000000000005  0001 ac99000000000345  0001 ac99000000000033  0001 ac99000000000000  0001 ac99000000000298  0001 ac99000000000067  0001 ac99000000000005  0001 ac99000000000ae7  0001 ac9900000001ce47  0001 ac990000000567a3  0001 ac990000000878b4  0001 ac9900000868ddaf  0001 ac990000489aff33  0001 ac990000b27d7d92  0001 ac99000000548000  0001 ac99000000000000  0001 ac99000000000001  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012  0001 ac99000500098012
Frame 0313    0001 acb9400000000079  0001 acb9400000004b3e  0001 acb9400000003b6d  0001 acb940000000158e  0001 acb9400000000a69  0001 acb940000000093d  0001 acb9400000000079  0001 acb940000002b5e3  0001 acb940000016af24  0001 acb940000047b782  0001 acb9400000473dc7  0001 acb940006304f080  0001 acb940022d49c364  0001 acb94002292f9e59  0001 acb94003fff29020  0001 acb9400000000000  0001 acb9400000000001  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015  0001 acb94005c00b0015
Frame 0314    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0315    0001 acd9800000000071  0001 acd980000000599d  0001 acd9800000005017  0001 acd9800000003393  0001 acd98000000003df  0001 acd9800000000b27  0001 acd9800000000071  0001 acd9800000031fad  0001 acd980000010ff1e  0001 acd98000004decac  0001 acd9800000c2c959  0001 acd9800036131f32  0001 acd98002209d845e  0001 acd9800d4cfecbe1  0001 acd98003ff638800  0001 acd9800000000000  0001 acd9800000000001  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b
Frame 0316    0001 acf9c000000000fa  0001 acf9c0000000e882  0001 acf9c000000088ef  0001 acf9c00000004b38  0001 acf9c00000003403  0001 acf9c00000001cce  0001 acf9c000000000fa  0001 acf9c0000008a31e  0001 acf9c000005bd4a2  0001 acf9c000014b09d1  0001 acf9c0000110f5ac  0001 acf9c001f8b856e0  0001 acf9c00edd41bc43  0001 acf9c00a1f5d7ce2  0001 acf9c003fff7fbd9  0001 acf9c00000000000  0001 acf9c00000000001  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e
Frame 0317    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0318    0001 ad1a00000000012a  0001 ad1a00000001d25f  0001 ad1a000000016077  0001 ad1a00000000ecb6  0001 ad1a000000002e8f  0001 ad1a000000003a6b  0001 ad1a00000000012a  0001 ad1a0000004f932f  0001 ad1a000000858790  0001 ad1a000002df72f0  0001 ad1a000001a80c4f  0001 ad1a00026b4960de  0001 ad1a00242e0ca496  0001 ad1a000c0bdc3237  0001 ad1a0003fff7fee0  0001 ad1a000000000000  0001 ad1a000000000001  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024
